likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,ips_likert_nang_dong,ips_likert_huong_noi,ips_likert_sang_tao,ips_likert_logic,ips_likert_to_mo,ips_likert_thi_nghiem,ips_likert_moi_truong,ips_likert_dinh_duong,ips_likert_tranh_luan,ips_likert_thiet_ke,likert_tb,likert_dolech,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,z_diem_Van,z_diem_Dia,z_diem_Anh,z_diem_Toan,z_diem_Gdktpl,z_diem_Tin,z_diem_Su,z_diem_Ly,z_diem_Hoa,z_diem_Sinh,diem_tb,diem_lech,z_tb,z_max,th_A00,th_A01,th_B00,th_B08,th_C00,th_C01,th_C02,th_C03,th_D01,th_D07,th_D09,th_D14,th_D15,th_X01,th_X26,gioi_tinh_nam,muc_tieu,ma_nganh,ma_nhom,nguon,rui_ro_vong_tron,sample_weight
2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,3.0,-0.5,-0.5,0.5,0.5,0.5,-1.5,-0.5,-0.5,1.5,0.5,2.5,0.806225774829855,,,,7.8,,,,5.5,7.25,,,,,0.511295273120959,,,,-1.819035704246295,-0.1769880450691388,,6.8500000000000005,2.3,-0.4949094920648249,0.511295273120959,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7480202,0,ttth,0,1.0
4.0,4.0,1.0,4.0,5.0,4.0,3.0,3.0,3.0,1.0,0.7999999999999998,0.7999999999999998,-2.2,0.7999999999999998,1.7999999999999998,0.7999999999999998,-0.2000000000000001,-0.2000000000000001,-0.2000000000000001,-2.2,3.2,1.24899959967968,,,,8.0,,,,6.75,6.75,,,,,0.7470654280693014,,,,-0.4652223323598006,-0.7890847816433537,,7.166666666666667,1.25,-0.1690805619779509,0.7470654280693014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7380107,8,ttth,0,1.0
1.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,-1.5,0.5,2.5,2.5,2.5,-1.5,-1.5,-1.5,-0.5,-1.5,2.5,1.746424919657298,6.0,,3.2,6.8,,,,,,,-0.8605440596894514,,-4.026537798842745,-0.6675555016207524,,,,,,,5.333333333333333,3.5999999999999996,-1.8515457867176497,-0.6675555016207524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7480202,0,ttth,0,1.0
3.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,-0.7000000000000002,1.2999999999999998,0.2999999999999998,0.2999999999999998,0.2999999999999998,-0.7000000000000002,-0.7000000000000002,1.2999999999999998,-0.7000000000000002,-0.7000000000000002,3.7,0.7810249675906654,6.0,,8.0,7.6,,,,,,,-0.8605440596894514,,0.6045271246276667,0.2755251181726165,,,,,,,7.2,2.0,0.0065027277036106,0.6045271246276667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7380107,8,ttth,0,1.0
2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.3999999999999999,1.4,0.3999999999999999,0.3999999999999999,0.3999999999999999,-0.6000000000000001,-0.6000000000000001,2.6,0.66332495807108,,,6.8,6.5,,,,,8.4,,,,-0.5532391062399366,-1.0212107340432657,,,,,1.230834449051556,,7.233333333333334,1.9000000000000004,-0.114538463743882,1.230834449051556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7540101,7,ttth,0,1.0
2.0,3.0,3.0,4.0,3.0,3.0,2.0,5.0,4.0,5.0,-1.4,-0.3999999999999999,-0.3999999999999999,0.6000000000000001,-0.3999999999999999,-0.3999999999999999,-1.4,1.6,0.6000000000000001,1.6,3.4,1.019803902718557,,,,7.8,,,,8.25,7.75,,,,,0.511295273120959,,,,1.1593537139039929,0.4351086915050761,,7.933333333333334,0.5,0.7019192261766759,1.1593537139039929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340101,1,ttth,0,1.0
1.0,3.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,3.0,-1.7999999999999998,0.2000000000000001,2.2,2.2,0.2000000000000001,-0.7999999999999998,-0.7999999999999998,-0.7999999999999998,-0.7999999999999998,0.2000000000000001,2.8,1.2489995996796797,,,8.8,7.6,,,,7.75,,,,,1.3763712785394029,0.2755251181726165,,,,0.6178283651493949,,,8.049999999999999,1.200000000000001,0.7565749206204714,1.3763712785394029,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7480202,0,ttth,0,1.0
3.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,0.5,-0.5,1.5,0.5,0.5,-1.5,-0.5,0.5,0.5,-1.5,2.5,0.9219544457292888,,,,7.5,,,,8.0,8.4,,,,,0.1576400406984457,,,,0.8885910395266937,1.230834449051556,,7.966666666666666,0.9000000000000004,0.7590218430922319,1.230834449051556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7340301,2,ttth,0,1.0
4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,-0.2000000000000001,-0.2000000000000001,-0.2000000000000001,-0.2000000000000001,-0.2000000000000001,-0.2000000000000001,0.7999999999999998,0.7999999999999998,-0.2000000000000001,-0.2000000000000001,4.2,0.3999999999999999,,,,7.5,,,,8.25,7.4,,,,,0.1576400406984457,,,,1.1593537139039929,0.006640975903126,,7.716666666666666,0.8499999999999996,0.4412115768351881,1.1593537139039929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7380107,8,ttth,0,1.0
3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0.1,0.1,0.1,0.1,-0.8999999999999999,0.1,0.1,0.1,0.1,0.1,2.9,0.3,7.4,,7.2,8.0,,,,,,,0.3970999751026445,,-0.1673170292840685,0.7470654280693014,,,,,,,7.533333333333334,0.7999999999999998,0.3256161246292924,0.7470654280693014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340201,2,ttth,0,1.0
