likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,diem_Toan,diem_Ly,diem_Hoa,diem_Anh,diem_Van,diem_Su,diem_Sinh,diem_Dia,diem_Gdktpl,diem_Tin,diem_tb_z,diem_max_z,diem_min_z,gioi_tinh_ma,muc_tieu_ma,to_hop_A00,to_hop_A01,to_hop_B00,to_hop_B08,to_hop_C00,to_hop_C01,to_hop_C02,to_hop_C03,to_hop_D01,to_hop_D07,to_hop_D09,to_hop_D14,to_hop_D15,to_hop_X01,to_hop_X26,nhom_to_hop_TN,nhom_to_hop_XH,nhom_to_hop_HH
3,1,4,5,4,1,2,1,1,2,7.25,6.75,7.25,,,,,,,,-0.13910596772415348,-0.013204328538946613,-0.356093034150893,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,4,3,3,4,4,4,4,3,3,5.5,,8.25,,,,6.6,,,,-0.40602657724434366,1.1167895815266304,-2.0522806313814757,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,5,4,4,4,4,4,4,4,4,,,,,7.5,8.0,,8.0,,,0.7796258918464493,1.3270638825371308,0.46439867309980676,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,2,5,3,3,1,1,2,4,2,5.25,5.25,,8.25,,,,,,,-1.1149058893003152,0.9035989570398603,-2.3386035015098834,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,4,5,1,5,4,5,1,5,5,5.0,,,,7.75,6.75,,,,,-0.8775774696667833,0.767984796207502,-2.6249263716382916,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3,4,4,4,4,4,4,4,4,4,7.5,6.5,,7.0,,,,,,,-0.21021766789689153,0.23830232964578701,-0.6150297156975646,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2,4,3,2,1,2,3,2,4,8.5,6.5,,8.75,,,,,,,0.7117242937910723,1.3835938101594183,-0.6150297156975646,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,3,1,3,3,3,2,3,3,3,5.75,7.25,,4.0,,,,,,,-1.5453873430595106,0.16178032894245006,-3.031984596867914,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,3,3,2,3,2,2,4,3,4,5.5,6.0,5.5,,,,,,,,-1.72529246044203,-1.1329030787909076,-2.0522806313814757,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,4,3,4,3,3,3,3,3,3,6.0,,,8.7,6.5,,,,,,-0.16473022417280161,1.3203078039242122,-1.47963489112466,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,2,1,2,1,3,3,1,2,2,8.0,,,6.5,8.25,,,,,,0.43437892373662956,1.2091241488176858,-0.7169354475103998,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,3,5,3,3,3,5,4,3,3,8.0,7.0,7.0,,,,,,,,0.13936297041434678,0.8109480699026027,-0.2957028060553409,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,1,4,5,2,1,1,1,3,2,6.0,,,7.0,7.25,,,,,,-0.46890502172207943,0.32684544359731843,-1.47963489112466,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,3,5,4,4,4,4,5,4,3,6.0,7.5,,5.0,,,,,,,-1.0549609392534822,0.4207170104891216,-2.1059649371249085,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,1,3,3,5,4,5,4,3,3,7.25,,5.35,,,,4.75,,,,-1.460063811628639,-0.04802054048262081,-2.171978136739753,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2,3,5,2,1,1,2,4,2,5.25,7.75,7.25,,,,,,,,-0.5573847126710123,0.6796536920357932,-2.3386035015098834,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,3,4,2,2,2,2,2,3,4.25,,8.75,7.2,,,,,,,-0.6236100437181304,1.6817865365594191,-3.4838949820235148,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3,3,3,3,2,2,2,2,2,2,7.2,,,6.4,8.5,,,,,,0.1716237657099251,1.4296938251227775,-0.8095374134847001,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,3,1,1,1,1,4,4,5,2,5.6,,7.25,5.75,,,,,,,-1.1208020013955713,-0.013204328538946613,-1.937751483330113,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3,2,3,3,4,4,4,2,4,4,5.5,,6.5,,,,7.5,,,,-0.7588022122825228,0.6365737556220367,-2.0522806313814757,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,4,3,4,4,3,3,3,3,3,,,,5.6,9.0,,,9.75,,,1.0025273798800998,2.6871021031864437,-1.5503531412791054,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,4,3,3,3,3,3,3,3,3,7.0,,6.0,,7.5,,,,,,-0.4042083356098454,0.5474151199024102,-1.425696716120918,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5,2,4,4,4,5,5,5,5,5,5.5,2.6,4.5,,,,,,,,-3.2758033868088,-2.0522806313814757,-4.654441947825641,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,3,4,5,4,3,4,2,1,6.5,6.25,5.0,,,,,,,,-1.4455487247661918,-0.8739663972442361,-2.5556906261864953,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,5,4,4,5,4,5,4,4,5,6.5,,,6.75,6.5,,,,,,-0.5757610895868166,-0.33486358531795707,-0.9069891508678444,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5,1,3,3,3,2,2,5,3,2,,,,,7.0,9.0,,7.0,,,0.7042417435835882,1.4565502784353004,0.10627576729222658,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,4,4,3,3,1,1,4,2,4,8.0,,,7.8,7.5,,,,,,0.6150844333201735,0.8109480699026027,0.4868901101555075,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,4,4,5,4,2,1,1,3,2,8.2,7.6,8.0,,,,,,,,0.7995297177077848,1.0400063660053283,0.5242916831077898,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,4,3,3,4,3,4,4,3,4,7.8,,,7.0,5.25,,,,,,-0.3699159368941456,0.5818897737998763,-1.4377119668434162,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
