ma_nganh,ma_nhom,nganh_hoc,to_hop_thi,nguon,is_that,sample_weight,likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,ips_likert_nang_dong,ips_likert_huong_noi,ips_likert_sang_tao,ips_likert_logic,ips_likert_to_mo,ips_likert_thi_nghiem,ips_likert_moi_truong,ips_likert_dinh_duong,ips_likert_tranh_luan,ips_likert_thiet_ke,likert_tb,likert_dolech,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,z_diem_Van,z_diem_Dia,z_diem_Anh,z_diem_Toan,z_diem_Gdktpl,z_diem_Tin,z_diem_Su,z_diem_Ly,z_diem_Hoa,z_diem_Sinh,diem_tb,diem_lech,z_tb,z_max,th_A00,th_A01,th_B00,th_B08,th_C00,th_C01,th_C02,th_C03,th_D01,th_D07,th_D09,th_D14,th_D15,th_X01,th_X26,gioi_tinh_nam,muc_tieu
7480202,0,An toàn thông tin,A00,ttth,0,1.0,2.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,-1.1,1.9,-0.10000000000000009,0.8999999999999999,0.8999999999999999,-1.1,-1.1,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,3.1,0.9433981132056604,,,,7.4,,,,5.75,6.25,,,,,0.037695791815919484,,,,-1.5813229955964896,-1.3714547118357707,,6.466666666666666,1.6500000000000004,-0.9716939718721136,0.037695791815919484,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7480202,0,An toàn thông tin,D07,ttth,0,1.0,2.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,-1.1,1.9,-0.10000000000000009,0.8999999999999999,0.8999999999999999,-1.1,-1.1,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,3.1,0.9433981132056604,,,6.8,6.5,,,,,7.0,,,,-0.5343205208321228,-1.031394882150676,,,,,-0.4688945617490549,,6.766666666666667,0.5,-0.6782033215772846,-0.4688945617490549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
7480202,0,An toàn thông tin,D01,ttth,0,1.0,2.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,-1.1,1.9,-0.10000000000000009,0.8999999999999999,0.8999999999999999,-1.1,-1.1,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,3.1,0.9433981132056604,5.4,,7.2,6.75,,,,,,,-1.396321102586019,,-0.152712380702018,-0.7344252504932886,,,,,,,6.45,1.7999999999999998,-0.7611529112604418,-0.152712380702018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
7480202,0,An toàn thông tin,D01,ttth,0,1.0,2.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,-1.1,1.9,-0.10000000000000009,0.8999999999999999,0.8999999999999999,-1.1,-1.1,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,3.1,0.9433981132056604,5.6,,5.2,6.0,,,,,,,-1.2156444130219137,,-2.06075308135254,-1.625334145465451,,,,,,,5.6000000000000005,0.7999999999999998,-1.6339105466133015,-1.2156444130219137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7480202,0,An toàn thông tin,D07,ttth,0,1.0,2.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,-1.1,1.9,-0.10000000000000009,0.8999999999999999,0.8999999999999999,-1.1,-1.1,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,3.1,0.9433981132056604,,,6.4,6.5,,,,,7.0,,,,-0.9159286609622267,-1.031394882150676,,,,,-0.4688945617490549,,6.633333333333333,0.5999999999999996,-0.8054060349539859,-0.4688945617490549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
7480202,0,An toàn thông tin,D01,ttth,0,1.0,2.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,-1.1,1.9,-0.10000000000000009,0.8999999999999999,0.8999999999999999,-1.1,-1.1,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,3.1,0.9433981132056604,6.0,,8.0,8.0,,,,,,,-0.8542910338937015,,0.6105038995581906,0.7504229077936492,,,,,,,7.333333333333333,2.0,0.16887859115271275,0.7504229077936492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
7480202,0,An toàn thông tin,A01,ttth,0,1.0,2.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,-1.1,1.9,-0.10000000000000009,0.8999999999999999,0.8999999999999999,-1.1,-1.1,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,3.1,0.9433981132056604,,,7.4,7.2,,,,7.0,,,,,0.03809168936303438,-0.19987991350999076,,,,-0.2193895934324149,,,7.2,0.40000000000000036,-0.1270592725264571,0.03809168936303438,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
7480202,0,An toàn thông tin,D01,ttth,0,1.0,2.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,-1.1,1.9,-0.10000000000000009,0.8999999999999999,0.8999999999999999,-1.1,-1.1,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,3.1,0.9433981132056604,7.0,,7.2,6.0,,,,,,,0.04909241392682824,,-0.152712380702018,-1.625334145465451,,,,,,,6.733333333333333,1.2000000000000002,-0.5763180374135469,0.04909241392682824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
7480202,0,An toàn thông tin,D01,ttth,0,1.0,2.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,-1.1,1.9,-0.10000000000000009,0.8999999999999999,0.8999999999999999,-1.1,-1.1,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,3.1,0.9433981132056604,6.5,,8.2,6.4,,,,,,,-0.4025993099834366,,0.8013079696232421,-1.1501827348136306,,,,,,,7.033333333333334,1.799999999999999,-0.25049135839127507,0.8013079696232421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
7480202,0,An toàn thông tin,A01,ttth,0,1.0,2.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,-1.1,1.9,-0.10000000000000009,0.8999999999999999,0.8999999999999999,-1.1,-1.1,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,3.1,0.9433981132056604,,,7.8,7.0,,,,7.4,,,,,0.4196998294931383,-0.437455618835901,,,,0.21642909526008938,,,7.400000000000001,0.7999999999999998,0.06622443530577556,0.4196998294931383,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7480202,0,An toàn thông tin,A00,ttth,0,1.0,2.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,-1.1,1.9,-0.10000000000000009,0.8999999999999999,0.8999999999999999,-1.1,-1.1,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,3.1,0.9433981132056604,,,,8.0,,,,6.0,7.6,,,,,0.7504229077936492,,,,-1.3089363151636746,0.2531535583203172,,7.2,2.0,-0.10178661634990273,0.7504229077936492,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
