to_hop_thi,ma_nganh,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,nguon,j_nganh,ma_nhom
A01,7340120,,,8.6,8.0,,,,8.0,,,ttth,4,1
A00,7510303,,,,7.4,,,,5.75,7.25,,ttth,21,5
D01,7340115,8.8,,7.4,8.25,,,,,,,ttth,3,1
A00,7540101,,,,8.0,,,,7.25,7.8,,ttth,28,7
D01,7810201,8.0,,8.6,7.2,,,,,,,ttth,34,4
A01,7510301,,,6.0,7.0,,,,7.25,,,ttth,20,5
D01,7810201,8.0,,6.6,7.75,,,,,,,ttth,34,4
A00,7510203,,,,7.0,,,,4.25,5.25,,ttth,19,5
D01,7510303,5.25,,6.8,6.8,,,,,,,ttth,21,5
D01,7340129,8.4,,7.8,7.5,,,,,,,ttth,7,7
A00,7340101,,,,7.25,,,,8.25,8.0,,ttth,2,1
A00,7340301,,,,8.6,,,,7.75,7.0,,ttth,10,2
A01,7420201,,,7.4,7.8,,,,7.75,,,ttth,13,7
A00,7540101,,,,7.5,,,,9.5,8.8,,ttth,28,7
A00,7340201,,,,7.25,,,,8.0,8.0,,ttth,8,2
D01,7480202,6.0,,5.6,5.4,,,,,,,ttth,17,0
D01,7480201,6.2,,8.0,7.0,,,,,,,ttth,16,0
A01,7480201,,,8.6,8.0,,,,6.75,,,ttth,16,0
A00,7510303,,,,7.0,,,,7.75,7.8,,ttth,21,5
D01,7340301,7.5,,7.2,7.8,,,,,,,ttth,10,2
B00,7540101,,,,6.75,,,,,7.25,8.0,ttth,28,7
D07,7480201,,,8.2,7.75,,,,,7.2,,ttth,16,0
B00,7540101,,,,7.5,,,,,5.5,7.6,ttth,28,7
A00,7810202,,,,6.0,,,,6.25,7.4,,ttth,35,4
D01,7380107,7.6,,7.8,7.25,,,,,,,ttth,12,8
A00,7480201,,,,8.75,,,,6.75,8.0,,ttth,16,0
A00,7480201,,,,7.5,,,,7.5,8.2,,ttth,16,0
D01,7340115,7.6,,6.8,8.0,,,,,,,ttth,3,1
A00,7810201,,,,7.8,,,,7.75,7.25,,ttth,34,4
D01,7810201,8.5,,7.2,7.8,,,,,,,ttth,34,4
D01,7480201,7.0,,8.4,7.8,,,,,,,ttth,16,0
