idx,fold,y,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38
453,6,3,0.03202837701315391,0.012171801408111782,0.054946508882390215,0.31700757441200317,0.11019220383848116,0.02044292273804595,0.02501826604670406,0.0027773474439980873,0.15956503956425502,0.006567515900489766,0.12427457137439406,0.0008874431917082205,0.0033989779047757197,0.0041211860561679034,0.006191476202522843,0.004825960986362378,0.008083505435416666,0.0035090970412824493,0.0015575117769180767,0.0023252139849113352,0.003032054226307992,0.0032880550192310046,0.0026082835548441887,0.0012350050518430723,0.001986007152960384,0.020651037058696885,0.02842975331499637,0.0011700501651435687,0.014081582090624267,0.0010394978668729598,0.0015864219654934811,0.009832985045549237,0.0010706319668415544,0.002355547898809312,0.0017448285469805335,0.002394024749455541,0.001344307624359175,0.0007915363037497897,0.0014658891951477033
466,6,37,0.0003105055432998487,0.00033994934362224457,0.0014249630166896243,0.0009741232039865264,0.0008640410557612993,0.0011017054367158687,0.0009208508864559981,0.016773154330154888,0.0008487994230551425,0.000980000743266257,0.0012996920895337034,0.0011138566939034407,0.0009728551325289314,0.050694371189973164,0.0009426350517148039,0.0030072527750015696,0.001672485028447609,0.0015771059420892311,0.012018436473017,0.006644310579358729,0.006659554631059184,0.015772156811338933,0.07156371154703531,0.021111694577878922,0.01041231489228711,0.0012381073689843648,0.0006855086810022571,0.009862072445553169,0.09332524991787224,0.22126745764232925,0.052279840366901476,0.005023213869923801,0.006194491436323767,0.004828965154701221,0.005478244602929932,0.004698929230653351,0.12751002619323215,0.2099851531581501,0.027622213533267825
470,6,16,0.004275148277891515,0.002250468551573957,0.034448964085966365,0.054624438325275165,0.05917289408881235,0.018278910879064452,0.012437187683916615,0.011785430679789873,0.06628420837375777,0.006905630784280049,0.08202444115591244,0.00811934997595532,0.06958573461061358,0.013890177319825687,0.011284124787596415,0.019117605444251465,0.0906995378418577,0.020413749089202758,0.0082769377390884,0.016722274577900046,0.019912200534426768,0.0343015387644313,0.09248132840880337,0.01009452236416558,0.0030269661160696286,0.0171733376360738,0.017373411828971414,0.008309424042682638,0.0872366501620611,0.005833270709248554,0.03175136727834554,0.025525480676199818,0.005162397557213906,0.005427856203527366,0.00645873788758825,0.007366140476890665,0.002874390872974036,0.0032912094118546695,0.005802554795939825
472,6,12,0.01884613286904314,0.006611081673724821,0.04330418471667603,0.0554970325654849,0.13383437785224403,0.05055815222053707,0.005595134484649065,0.006169588088808831,0.031669792312264695,0.010201048502486834,0.035299109007617735,0.31843101224250003,0.13145498617219872,0.0015901447387774033,0.007463972040070856,0.004339464873568687,0.0058297803726565555,0.008480612256347277,0.006047312372492057,0.005490340276039836,0.004823698127920272,0.03402336824628339,0.0025101262660415648,0.0024949929499730474,0.0009948223880315806,0.020653528559809023,0.00632362674155734,0.0020136489845376596,0.002204940513196914,0.0010530059226944622,0.002228448396400179,0.004668302396966951,0.0022294490376170276,0.010271296872402734,0.0068308486484999755,0.0054669605588569935,0.001443002320826418,0.0016806658223141443,0.0013720076078815079
473,6,4,0.003594156612681559,0.004018289869324175,0.009590362687027633,0.005490846244901877,0.013153906020742057,0.00804284645302224,0.010599349433287346,0.003939113542847568,0.004406047035005191,0.008578569693642929,0.025431119213755213,0.0011172204059587691,0.002129167811704087,0.015297009244282027,0.0033310363164380367,0.0015945514027761044,0.003055691921213908,0.005560122786931794,0.11338955067671748,0.04285324501563142,0.06050266240058408,0.061891276047596894,0.05700343589799296,0.03537761795146962,0.012307503073953332,0.0022845054040305057,0.0038297359917406864,0.06121465065904031,0.006411666028585228,0.008522564624530323,0.005357567793017636,0.30808346955261434,0.009304082369083996,0.009305717200504961,0.019455137828130534,0.014229757829246972,0.02154314475186935,0.010482359752113386,0.007720942456003605
479,6,14,0.007404515838063483,0.0032447402332738593,0.08713835371792249,0.2821471150501433,0.11061795803245938,0.04189256414926233,0.04483148972258016,0.0035574893513934704,0.0419523229529636,0.009912200119095466,0.07499499014247812,0.0021442808259710556,0.016800156570714635,0.005834501532168967,0.004782146914753096,0.00273217682345517,0.012056465253823333,0.004981333021388812,0.00456274964390341,0.01559052796554221,0.013326134914155914,0.00768951424715677,0.039989570017136905,0.004544714528710551,0.0013509667133099195,0.016579867537519395,0.025969703373419698,0.0032078708908943876,0.05046424679196303,0.0033153231252171568,0.006569955015789712,0.010577863346863739,0.006449109535581174,0.005759598411740959,0.007613245078912535,0.012910308983226025,0.00192144486902997,0.0023383806232545557,0.0022441041347611027
488,6,24,8.649250348998465e-05,8.748243022119191e-05,0.00037274627072668334,0.0002790518698527501,0.00021533865141785122,0.0003931364869543185,0.00039919362530274117,0.016003876119970336,0.00024004269580361965,0.00034478802916549094,0.00047066973918206945,0.0003145488694866072,0.0002761002508867099,0.11388058653536161,0.00040881006385878085,0.0008646717747284416,0.0007936826993953447,0.0007992000506407676,0.003930707784313613,0.004530632731979496,0.0037948437466616605,0.008411111157536727,0.01463769718340783,0.006053947089882133,0.05108753816124596,0.00027171322287886546,0.00020396090551480443,0.008658373972611166,0.021274816162234766,0.030385585884983676,0.047338557583277166,0.0017193646191496171,0.00038544456143685255,0.0004999769821063518,0.0005463410110143534,0.0004761060355551015,0.0075242749444193,0.0033145825549481026,0.6487240050383972
514,6,8,0.0033311156931861295,0.0038925210511744418,0.0931160750065219,0.21365747150028033,0.05335178716770499,0.31700842947330554,0.01033751234480459,0.0008263669381537789,0.04847732915652567,0.03220124483286971,0.02867690424740758,0.0026191884224144022,0.001172220930646359,0.0008184476485246616,0.0012608887636258136,0.0006001023069928279,0.00233032518259935,0.0008072875956466232,0.0006721148909859286,0.001371556363111189,0.000888327013697049,0.006408227970724901,0.0012948086967740702,0.0006102695795503906,0.0005047610572975768,0.0519472863069157,0.10792848849688948,0.00047101523073704864,0.0019280541065613917,0.00032327790991465406,0.0005920515044770441,0.0009123922126192956,0.0009451144620894274,0.0031963575016546,0.0015128781434825135,0.0022306058817750897,0.0004947747471777653,0.0008244850426616115,0.00045793461851845814
521,6,29,0.004841483892821515,0.0016098857213175451,0.009911074889675115,0.020828558496733554,0.016736393823791145,0.007206676153000014,0.0029925988562917727,0.03581529902259245,0.009154707650634714,0.0029982262060009746,0.008716736702789114,0.0024714849245509613,0.004522936117962434,0.03735048303949509,0.0016429240247060922,0.003374638113194652,0.014705239281923682,0.003691497645296667,0.0033406005632740485,0.004240910767302924,0.0038809979538907036,0.013037784022812667,0.04457260838619505,0.017030879796357527,0.013756679527068244,0.006154393075794023,0.007078659285481824,0.002331896101694625,0.17710912405978874,0.020128283466970143,0.10080594801782158,0.0045888358653105015,0.01523391978064905,0.017418252373032243,0.028200712040228552,0.02786730690110085,0.2564648763322314,0.03933651853448628,0.008849968585731536
522,6,34,0.7166553212867429,0.09622972908101779,0.016782102770666368,0.024930065204575764,0.019591214392035813,0.008271948143027652,0.004005798871819413,0.0006618369596913573,0.01260975974913368,0.0018744790481917172,0.006825950632815475,0.00043862996227508595,0.0014747727439420569,0.0005054332484406639,0.0010587092163321405,0.0012911040266194891,0.006850400047751173,0.002202692971245743,0.0008914026434180511,0.001535604672381577,0.002532742798229654,0.001275451961248366,0.0009818954822684548,0.0004434808522976254,0.00027042942008638135,0.00612292781750961,0.012951947928566665,0.000580222712177045,0.000675295121771177,0.00026939823336174135,0.0006764176010473357,0.0016987636237512903,0.006380387840526983,0.011297970758417347,0.0066701240643273,0.020357067184790818,0.0008932740934476823,0.0009063171833950376,0.0003289296506554665
