macro_f1,top3,gap,ty_le_that,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step
0.1273851839462699,0.3327078565980168,0.6694058818543944,1.5,4,0.05,600,1.0,1.0,50,0.1,3.0,5.0,1
0.1272746509398093,0.35360793287566744,0.5531228469012828,1.0,6,0.05,600,0.6,0.6,50,0.5,3.0,0.1,1
0.1266778214861092,0.33790999237223496,0.8288673018152087,2.0,10,0.01,600,0.9,0.6,15,5.0,30.0,2.0,3
0.12645146708495125,0.35009916094584287,0.767849668217147,1.0,5,0.12,600,1.0,0.8,1,5.0,100.0,0.0,0
0.12591133412995764,0.36581235697940506,0.5892600070793635,0.6,6,0.05,600,0.7,0.6,30,0.0,10.0,0.1,1
0.1257067477301591,0.34144927536231884,0.7094464137040528,0.8,3,0.2,600,0.9,0.3,1,2.0,3.0,0.0,3
0.12523611566121687,0.3431578947368421,0.8135508991290388,0.8,5,0.03,600,0.9,0.3,6,5.0,3.0,0.1,1
0.12416135353977698,0.3379252479023646,0.801390546556787,1.5,5,0.08,600,0.6,0.8,15,0.0,10.0,0.5,1
0.12410873272864223,0.3518535469107552,0.6563550251018283,0.4,8,0.03,600,0.9,0.8,10,0.1,100.0,0.0,0
0.12407680335597955,0.3466361556064073,0.6280474417074229,2.0,3,0.2,600,0.7,1.0,50,10.0,100.0,0.0,3
0.1238195565118642,0.34492753623188405,0.7805288583778286,0.8,4,0.05,600,0.9,0.8,1,0.1,10.0,0.0,3
0.12323732973649619,0.3397101449275362,0.6205738272934396,0.4,3,0.2,600,1.0,0.3,3,0.5,0.1,2.0,5
0.1228207163672647,0.36753623188405793,0.532661641315565,2.0,2,0.01,600,0.6,0.4,3,10.0,30.0,1.0,5
0.12280503809915574,0.346697177726926,0.33572471246316987,0.25,3,0.08,600,0.8,0.4,20,2.0,0.1,2.0,0
0.12220022830406255,0.32053394355453857,0.8414950419527077,2.0,6,0.05,600,1.0,0.8,1,10.0,0.1,0.5,3
0.1221475675321829,0.3431884057971014,0.3618505057756639,0.25,8,0.08,600,0.5,0.4,10,0.5,30.0,1.0,3
0.12207366539945723,0.3641342486651411,0.4429125598879267,0.6,2,0.08,600,0.7,1.0,15,0.5,0.1,0.5,0
0.12166482459528423,0.34314263920671245,0.7269853377404866,1.0,4,0.02,600,0.9,1.0,3,0.5,100.0,0.5,0
0.12084532276839968,0.3414797864225782,0.4333523778186586,0.4,8,0.12,600,0.6,0.8,30,0.1,10.0,0.5,3
0.12043743225453156,0.35710144927536225,0.4664087185853238,0.4,6,0.02,600,0.8,0.4,15,10.0,10.0,2.0,5
0.1201806681670935,0.34836003051106024,0.39799798587118546,0.4,4,0.05,600,0.5,0.4,15,5.0,30.0,1.0,0
0.11979777532409111,0.3641037376048818,0.5117419721511792,0.4,4,0.12,600,0.6,1.0,15,0.0,10.0,2.0,0
0.11975874217955666,0.3571624713958811,0.4986728187333922,0.8,2,0.01,600,0.9,0.6,6,2.0,3.0,1.0,5
0.11954395277924687,0.34665141113653697,0.7124957748164101,0.6,5,0.03,600,0.9,1.0,1,10.0,30.0,0.5,1
0.11946679889047121,0.31704042715484365,0.8327536231884058,2.0,5,0.12,600,1.0,0.4,3,0.1,3.0,5.0,1
0.1192687605455656,0.3588710907704043,0.7783272759904877,1.0,4,0.12,600,0.5,0.6,1,2.0,10.0,0.1,1
0.1192126107510723,0.33443173150266975,0.7573845739668866,0.4,6,0.01,600,0.6,0.6,1,0.0,10.0,0.5,0
0.11914899117447345,0.338001525553013,0.7840004885758016,1.5,5,0.05,600,1.0,0.8,30,10.0,3.0,0.5,3
0.1191269851096725,0.3274599542334096,0.8328146453089245,1.5,8,0.08,600,0.7,0.8,1,2.0,0.1,2.0,3
0.1188684066787549,0.33966437833714724,0.7517593215776013,2.0,5,0.12,600,0.5,0.8,30,0.0,10.0,2.0,5
0.1185057091391933,0.3414035087719298,0.5126540634051739,1.0,5,0.2,600,0.5,0.8,6,2.0,100.0,5.0,1
0.11828635751712675,0.3448665141113654,0.8371567879630877,1.5,6,0.03,600,0.8,0.8,15,0.1,1.0,5.0,3
0.11827891900290091,0.3379252479023646,0.8022468504309936,0.4,10,0.05,600,0.5,0.6,3,0.1,3.0,0.1,5
0.11819418891817082,0.3501144164759725,0.8118805681438606,1.0,10,0.01,600,0.7,1.0,10,2.0,30.0,0.0,5
0.11811518379391683,0.35360793287566744,0.6929260206498059,0.4,6,0.08,600,0.9,0.4,10,2.0,3.0,2.0,1
0.11801633738880701,0.3605949656750572,0.6323842000568343,0.4,8,0.02,600,0.9,0.4,20,0.1,3.0,1.0,0
0.11783271485819713,0.3292143401983219,0.8336518049884587,1.0,6,0.05,600,0.6,0.8,3,0.1,0.1,1.0,0
0.11771744969768308,0.33620137299771163,0.8397101449275363,1.0,10,0.01,600,0.7,0.6,10,0.1,1.0,1.0,3
0.11752005828928906,0.36581235697940506,0.4102566020051549,0.6,8,0.05,600,0.5,1.0,20,2.0,30.0,5.0,5
0.11751288430021463,0.3640884820747521,0.6458880363739699,0.4,8,0.02,600,0.9,0.4,20,0.1,3.0,0.1,0
0.11742991715842395,0.3518840579710145,0.28824805691409544,0.4,6,0.05,600,0.6,0.3,6,2.0,30.0,5.0,3
0.11740241614735543,0.3292143401983219,0.8209813393956615,0.8,5,0.12,600,0.8,0.3,6,2.0,0.1,2.0,3
0.11727095093610931,0.36236460717009916,0.47735615680291943,0.4,3,0.12,600,0.8,0.8,10,0.1,0.1,0.5,5
0.11713184921329718,0.3536536994660564,0.38150496303275955,0.6,4,0.02,600,0.5,0.4,15,0.1,30.0,5.0,1
0.11696128133375097,0.3640732265446224,0.6903230084304254,0.6,6,0.08,600,1.0,0.8,20,0.5,0.1,0.1,5
0.1166926074375467,0.3274752097635393,0.8467429443173151,2.0,6,0.01,600,0.9,1.0,3,0.0,3.0,0.0,3
0.1166367477000961,0.3327536231884058,0.8423741792674354,0.4,8,0.02,600,0.9,0.8,1,0.0,1.0,1.0,5
0.11604280465500008,0.35360793287566744,0.8166173105397764,1.5,5,0.03,600,0.5,0.3,6,2.0,30.0,0.0,5
0.11602066862247859,0.3431884057971014,0.7691112905879361,1.5,10,0.2,600,0.8,0.3,20,5.0,30.0,5.0,5
0.1158887333547967,0.35360793287566744,0.712571853048364,1.5,4,0.12,600,0.6,0.6,30,10.0,10.0,0.1,1
