n_estimators,max_depth,min_child_weight,reg_lambda,colsample_bytree,kp_train,kp_val,gap_kp,tv_train,tv_val,gap_tv,hop_le
250,3,10,20.0,0.6,0.8154040404040404,0.7050274941084054,0.11037654629563498,0.9446969696969697,0.8904163393558523,0.05428063034111741,False
250,4,3,5.0,0.4,0.9164141414141415,0.7391987431264729,0.17721539828766852,0.9820707070707071,0.9053417124901807,0.0767289945805264,False
250,4,3,5.0,0.6,0.924074074074074,0.7407698350353495,0.1833042390387245,0.9837542087542087,0.906127258444619,0.07762695030958966,False
250,4,3,20.0,0.4,0.8808922558922558,0.7293794186959938,0.15151283719626207,0.9708754208754209,0.901413982717989,0.06946143815743189,False
250,4,3,20.0,0.6,0.8906565656565657,0.7305577376276512,0.1600988280289145,0.9720538720538721,0.9021995286724274,0.0698543433814447,False
250,4,10,5.0,0.4,0.8911616161616162,0.7293794186959938,0.1617821974656224,0.9730639730639731,0.8974862529457973,0.07557772011817576,False
250,4,10,5.0,0.6,0.8997474747474747,0.7364493322859387,0.16329814246153607,0.9752525252525253,0.9045561665357423,0.07069635871678293,False
250,4,10,20.0,0.4,0.8582491582491583,0.7187745483110762,0.13947460993808203,0.9595959595959596,0.894344069128044,0.06525189046791557,False
250,4,10,20.0,0.6,0.8672558922558923,0.7215239591516104,0.1457319331042819,0.9622053872053872,0.8955223880597015,0.06668299914568565,False
250,5,3,5.0,0.4,0.9612794612794613,0.7513747054202671,0.20990475585919421,0.9941077441077442,0.9045561665357423,0.08955157757200183,False
250,5,3,5.0,0.6,0.9655723905723905,0.7553024351924588,0.21026995537993176,0.9952020202020202,0.908483896307934,0.08671812389408617,False
250,5,3,20.0,0.4,0.9218013468013468,0.7384131971720346,0.18338814962931227,0.9835016835016835,0.9045561665357423,0.07894551696594121,False
250,5,3,20.0,0.6,0.9306397306397306,0.7446975648075412,0.18594216583218937,0.9849326599326599,0.908483896307934,0.07644876362472586,False
250,5,10,5.0,0.4,0.927946127946128,0.7431264728986646,0.18481965504746334,0.9845117845117846,0.9092694422623724,0.07524234224941218,False
250,5,10,5.0,0.6,0.9346801346801347,0.7490180675569521,0.18566206712318256,0.9851010101010101,0.9104477611940298,0.07465324890698033,False
250,5,10,20.0,0.4,0.8915824915824916,0.7274155538098979,0.16416693777259372,0.9706228956228956,0.9029850746268657,0.06763782099602988,False
