nganh_hoc,longstring,irv,mahalanobis_d2,vuot_longstring,vuot_irv,vuot_mahalanobis,so_vi_pham,bi_loai
Công nghệ kỹ thuật cơ điện tử,10,0.0,1.0973051462361,1,1,0,2,1
Công nghệ thực phẩm,6,0.48989794855663565,2.280376065450266,0,0,0,0,0
Công nghệ thực phẩm,7,0.9165151389911681,9.89075479142124,0,0,0,0,0
Quản trị dịch vụ du lịch và lữ hành,4,0.45825756949558405,1.9451049455076155,0,0,0,0,0
Kế toán,8,0.3,1.9875575373100136,0,0,0,0,0
Kế toán,3,0.7000000000000001,8.604490956785767,0,0,0,0,0
Kế toán,2,1.4,17.43105500870364,0,0,0,0,0
Ngôn ngữ Trung Quốc,6,0.48989794855663565,3.586727243117773,0,0,0,0,0
Quản trị dịch vụ du lịch và lữ hành,6,0.9797958971132715,5.540666888708866,0,0,0,0,0
Kế toán,1,1.2,18.66134591456513,0,0,0,0,0
Kế toán,2,1.118033988749895,17.206428325756413,0,0,0,0,0
Công nghệ thông tin,5,0.9165151389911679,10.014049941331159,0,0,0,0,0
Công nghệ thực phẩm,4,0.8,7.580721599220901,0,0,0,0,0
Ngôn ngữ Trung Quốc,3,0.6708203932499369,5.511307178372263,0,0,0,0,0
Ngôn ngữ Trung Quốc,10,0.0,0.8329679811025518,1,1,0,2,1
Quản trị kinh doanh thực phẩm,10,0.0,1.0973051462361,1,1,0,2,1
Quản trị kinh doanh thực phẩm,2,0.7810249675906654,7.069501567273441,0,0,0,0,0
Quản trị kinh doanh thực phẩm,3,0.66332495807108,10.239114951236083,0,0,0,0,0
Luật kinh tế,5,0.45825756949558405,1.804377881463223,0,0,0,0,0
Luật kinh tế,8,0.4472135954999579,2.3297716307875587,0,0,0,0,0
Kế toán,3,0.6,3.589811944441033,0,0,0,0,0
Ngôn ngữ Trung Quốc,3,0.6324555320336759,6.646151399853563,0,0,0,0,0
Công nghệ thực phẩm,2,0.48989794855663565,4.467418982578601,0,0,0,0,0
Quản trị dịch vụ du lịch và lữ hành,10,0.0,5.258607074317781,1,1,0,2,1
Ngôn ngữ Anh,5,0.6403124237432849,7.700724198647224,0,0,0,0,0
Ngôn ngữ Anh,10,0.0,1.0973051462361,1,1,0,2,1
Công nghệ kỹ thuật hóa học,2,0.9219544457292888,11.248648786988813,0,0,0,0,0
Quản trị dịch vụ du lịch và lữ hành,4,0.5,3.301294638230099,0,0,0,0,0
Công nghệ vật liệu,2,0.66332495807108,6.917388593126075,0,0,0,0,0
Khoa học dữ liệu,2,0.8,12.829057375802323,0,0,0,0,0
Ngôn ngữ Trung Quốc,3,0.8306623862918073,6.0751711651252425,0,0,0,0,0
Khoa học dữ liệu,3,1.2489995996796797,15.509986372190523,0,0,0,0,0
Kế toán,1,1.0,11.984147324133682,0,0,0,0,0
Ngôn ngữ Trung Quốc,4,1.3,18.839883171187143,0,0,0,0,0
Kế toán,3,1.374772708486752,16.53701131996757,0,0,0,0,0
Kế toán,2,0.7483314773547882,7.3986051378318916,0,0,0,0,0
Quản trị dịch vụ du lịch và lữ hành,10,0.0,5.258607074317781,1,1,0,2,1
Quản trị dịch vụ du lịch và lữ hành,10,0.0,5.258607074317781,1,1,0,2,1
Công nghệ thông tin,4,0.66332495807108,7.8447530105811465,0,0,0,0,0
Công nghệ kỹ thuật hóa học,2,0.8717797887081347,11.693104497118203,0,0,0,0,0
Kỹ thuật nhiệt,5,0.66332495807108,10.581992049019199,0,0,0,0,0
Marketing,3,0.5,3.3466759414794214,0,0,0,0,0
Kinh doanh thời trang và dệt may,2,0.6403124237432849,5.429932789190166,0,0,0,0,0
Kinh doanh thời trang và dệt may,5,0.5385164807134504,4.354486800856503,0,0,0,0,0
Kinh doanh thời trang và dệt may,5,1.2041594578792296,12.25372631249183,0,0,0,0,0
Kinh doanh thời trang và dệt may,3,0.7,7.715418550193485,0,0,0,0,0
Kỹ thuật nhiệt,5,0.6708203932499369,5.624681516674949,0,0,0,0,0
Công nghệ thông tin,3,0.8000000000000002,8.444515041687858,0,0,0,0,0
Công nghệ kỹ thuật hóa học,10,0.0,5.258607074317781,1,1,0,2,1
Công nghệ thông tin,2,1.3564659966250536,18.560892437264048,0,0,0,0,0
Kế toán,2,1.0770329614269007,13.299045742273707,0,0,0,0,0
Kế toán,2,1.1661903789690602,14.912506244892107,0,0,0,0,0
Kinh doanh quốc tế,10,0.0,5.258607074317781,1,1,0,2,1
Kỹ thuật nhiệt,2,0.9797958971132713,11.200684364756423,0,0,0,0,0
Kế toán,3,0.6403124237432849,5.963105725066992,0,0,0,0,0
Công nghệ thực phẩm,4,1.4866068747318506,33.644878877609194,0,0,1,1,0
Công nghệ thực phẩm,2,0.6403124237432849,4.863198333679311,0,0,0,0,0
Công nghệ thực phẩm,2,0.6633249580710799,10.22830145564863,0,0,0,0,0
Công nghệ thực phẩm,3,0.6708203932499369,4.984048847910871,0,0,0,0,0
Công nghệ thực phẩm,3,0.6324555320336759,9.71774270693156,0,0,0,0,0
Công nghệ thực phẩm,3,0.7810249675906654,8.123491359549753,0,0,0,0,0
Công nghệ thực phẩm,3,1.16619037896906,16.715371468791098,0,0,0,0,0
Kinh doanh quốc tế,3,0.45825756949558405,3.9584143551523954,0,0,0,0,0
Ngôn ngữ Trung Quốc,2,0.6403124237432849,4.677947549645463,0,0,0,0,0
Công nghệ thực phẩm,4,0.6403124237432849,5.955243041779482,0,0,0,0,0
Công nghệ thực phẩm,2,0.9219544457292888,9.08994279950757,0,0,0,0,0
Công nghệ thực phẩm,4,0.48989794855663565,3.826079741461913,0,0,0,0,0
Công nghệ sinh học,3,0.7810249675906654,8.849468668200569,0,0,0,0,0
Công nghệ sinh học,2,1.2806248474865698,23.107272216106633,0,0,0,0,0
Công nghệ kỹ thuật hóa học,4,0.6633249580710799,6.0151204152728655,0,0,0,0,0
Công nghệ kỹ thuật hóa học,2,0.9433981132056604,12.69664765286017,0,0,0,0,0
Công nghệ thực phẩm,2,0.6403124237432849,3.7803853371298146,0,0,0,0,0
Công nghệ thực phẩm,4,1.077032961426901,11.000574248795209,0,0,0,0,0
Công nghệ thực phẩm,2,1.044030650891055,10.671567888603956,0,0,0,0,0
Công nghệ kỹ thuật điều khiển và TĐH,2,1.1874342087037917,19.64387738256855,0,0,0,0,0
Công nghệ chế biến thủy sản,10,0.0,5.258607074317781,1,1,0,2,1
Công nghệ thực phẩm,4,0.8306623862918076,6.189466972689341,0,0,0,0,0
Tài chính ngân hàng,10,0.0,5.258607074317781,1,1,0,2,1
Tài chính ngân hàng,3,0.48989794855663565,3.870369462146228,0,0,0,0,0
Công nghệ sinh học,6,0.9219544457292888,6.315336835668449,0,0,0,0,0
Luật kinh tế,3,0.8306623862918076,7.411559759598423,0,0,0,0,0
Luật kinh tế,3,1.4866068747318504,23.612524735450606,0,0,0,0,0
Công nghệ thực phẩm,9,0.29999999999999993,3.1893831688445213,0,0,0,0,0
Công nghệ thực phẩm,7,0.45825756949558405,2.878588821719659,0,0,0,0,0
Tài chính ngân hàng,3,0.45825756949558405,6.869875609494759,0,0,0,0,0
Công nghệ kỹ thuật hóa học,10,0.0,5.258607074317781,1,1,0,2,1
